Department Number,Department Name,Latitude,Longitude,Department Id
2,Fitness,18.2514534,-66.03705597,1
2,Fitness,18.27945137,-66.0370636,2
2,Fitness,37.29223251,-121.881279,3
2,Fitness,34.12594605,-118.2910156,4
2,Fitness,18.25376892,-66.03704834,5
2,Fitness,43.01396942,-78.87906647,6
2,Fitness,18.24253845,-66.03705597,7
2,Fitness,25.92886925,-80.16287231,8
2,Fitness,18.23322296,-66.03705597,9
2,Fitness,37.77399063,-121.966629,10
2,Fitness,18.28284454,-66.03705597,11
2,Fitness,40.65486527,-73.58707428,12
2,Fitness,36.6763382,-121.656517,13
2,Fitness,18.27843857,-66.03705597,14
2,Fitness,42.52627564,-70.92703247,15
2,Fitness,18.28404999,-66.03705597,16
2,Fitness,18.3957901,-65.87288666,17
2,Fitness,33.89869309,-118.1745605,18
2,Fitness,18.233778,-66.0370636,19
2,Fitness,42.04830551,-87.96134186,20
2,Fitness,33.78245163,-118.1922455,21
2,Fitness,18.28337669,-66.03705597,22
2,Fitness,38.61177445,-121.2828674,23
2,Fitness,18.20733643,-66.03705597,24
2,Fitness,45.78831101,-108.5594101,25
2,Fitness,18.26163292,-66.03705597,26
2,Fitness,41.23545456,-75.86985779,27
2,Fitness,18.27022362,-66.0370636,28
2,Fitness,41.86886215,-84.57365418,29
2,Fitness,33.90942383,-118.1253586,30
2,Fitness,18.27526093,-66.0370636,31
2,Fitness,41.86544037,-88.10990143,32
2,Fitness,18.28713608,-66.03705597,33
2,Fitness,42.39110184,-83.13121796,34
2,Fitness,32.86539459,-96.86858368,35
2,Fitness,18.24074173,-66.03705597,36
2,Fitness,40.03171921,-76.87709808,37
2,Fitness,32.81010819,-96.68649292,38
2,Fitness,18.28604889,-66.03705597,39
2,Fitness,39.68188095,-75.64421082,40
2,Fitness,34.15893936,-118.1809387,41
2,Fitness,18.28294563,-66.0370636,42
2,Fitness,33.81632614,-84.44550324,43
2,Fitness,18.24103928,-66.0370636,44
2,Fitness,37.49027634,-121.9271088,45
2,Fitness,18.26469612,-66.03705597,46
2,Fitness,43.18824005,-77.56706238,47
2,Fitness,32.753685,-96.86553955,48
4,Apparel,18.38011932,-66.18312836,49
5,Golf,18.23557282,-66.3706131,50
5,Golf,18.02536774,-66.61303711,51
5,Golf,18.27383804,-66.37063599,52
5,Golf,18.2848053,-66.37059021,53
5,Golf,18.29496765,-66.37050629,54
5,Golf,18.25571251,-66.37050629,55
3,Footwear,18.23466301,-66.37059784,56
3,Footwear,18.26268196,-66.37049866,57
4,Apparel,18.28279495,-66.37055969,58
4,Apparel,18.27466202,-66.37058258,59
3,Footwear,18.2689991,-66.37049866,60
5,Golf,18.2308178,-66.37052155,61
6,Outdoors,18.26138115,-66.37056732,62
6,Outdoors,18.23650742,-66.37051392,63
3,Footwear,18.35921478,-66.07779694,64
3,Footwear,18.29944229,-66.37052155,65
3,Footwear,18.28996849,-66.37054443,66
4,Apparel,18.2275734,-66.04563141,67
4,Apparel,18.2988205,-66.37059784,68
4,Apparel,18.02538109,-66.61508179,69
4,Apparel,18.25048637,-66.37062836,70
5,Golf,18.29944229,-66.37052155,71
5,Golf,18.24069786,-66.37055969,72
5,Golf,18.26268196,-66.37049866,73
6,Outdoors,18.21209908,-66.37050629,74
3,Footwear,18.23131371,-66.37062836,75
4,Apparel,18.29652023,-66.04867554,76
4,Apparel,18.28746414,-66.37054443,77
4,Apparel,18.29108048,-66.37050629,78
4,Apparel,18.24984551,-66.37050629,79
4,Apparel,18.24984551,-66.37050629,80
4,Apparel,18.25671768,-66.37062836,81
4,Apparel,18.24754334,-66.0253067,82
5,Golf,18.27673721,-66.37055206,83
5,Golf,18.2968483,-66.37050629,84
5,Golf,18.29609299,-66.37050629,85
5,Golf,18.29108048,-66.37050629,86
5,Golf,18.2105732,-66.37058258,87
5,Golf,18.20111656,-66.37059021,88
5,Golf,18.21469116,-66.37051392,89
5,Golf,18.21469116,-66.37051392,90
5,Golf,18.28425598,-66.37058258,91
5,Golf,18.20666885,-66.37056732,92
5,Golf,18.35907555,-66.07783508,93
5,Golf,18.26378822,-66.37052918,94
5,Golf,18.20330429,-66.37052155,95
5,Golf,18.22487068,-66.37052155,96
