Product Id,Shipping Id,Department Id,Order Id,Customer Id,Sales,Order Item Discount,Order Item Quantity,Order Item Total,Order Profit Per Order,Benefit per order,Sales per customer,Late_delivery_risk,Delivery Status,Sales Id
1,1,1,1,1,327.75,13.10999966,1,314.6400146,91.25,91.25,314.6400146,0,Advance shipping,1
2,2,2,2,2,327.75,16.38999939,1,311.3599854,-249.0899963,-249.0899963,311.3599854,1,Late delivery,2
3,3,3,3,3,327.75,18.03000069,1,309.7200012,-247.7799988,-247.7799988,309.7200012,0,Shipping on time,3
4,4,4,4,4,327.75,22.94000053,1,304.8099976,22.86000061,22.86000061,304.8099976,0,Advance shipping,4
5,5,5,5,5,327.75,29.5,1,298.25,134.2100067,134.2100067,298.25,0,Advance shipping,5
6,6,6,6,6,327.75,32.77999878,1,294.980011,18.57999992,18.57999992,294.980011,0,Shipping canceled,6
7,7,7,7,7,327.75,39.33000183,1,288.4200134,95.18000031,95.18000031,288.4200134,1,Late delivery,7
8,8,8,8,8,327.75,42.61000061,1,285.1400146,68.43000031,68.43000031,285.1400146,1,Late delivery,8
9,9,9,9,9,327.75,49.15999985,1,278.5899963,133.7200012,133.7200012,278.5899963,1,Late delivery,9
10,10,10,10,10,327.75,52.43999863,1,275.3099976,132.1499939,132.1499939,275.3099976,1,Late delivery,10
11,11,11,11,11,327.75,55.72000122,1,272.0299988,130.5800018,130.5800018,272.0299988,0,Shipping canceled,11
12,12,12,12,12,327.75,59.0,1,268.7600098,45.68999863,45.68999863,268.7600098,1,Late delivery,12
13,13,13,13,13,327.75,65.55000305,1,262.2000122,21.76000023,21.76000023,262.2000122,1,Late delivery,13
14,14,14,14,14,327.75,81.94000244,1,245.8099976,24.57999992,24.57999992,245.8099976,1,Late delivery,14
15,15,15,15,15,327.75,0.0,1,327.75,16.38999939,16.38999939,327.75,1,Late delivery,15
16,16,16,16,16,327.75,3.279999971,1,324.4700012,-259.5799866,-259.5799866,324.4700012,1,Late delivery,16
17,17,17,17,17,327.75,6.559999943,1,321.2000122,-246.3600006,-246.3600006,321.2000122,1,Late delivery,17
18,18,18,18,18,327.75,9.829999924,1,317.9200134,23.84000015,23.84000015,317.9200134,1,Late delivery,18
19,19,19,19,19,327.75,13.10999966,1,314.6400146,102.2600021,102.2600021,314.6400146,1,Late delivery,19
20,20,20,20,20,327.75,16.38999939,1,311.3599854,87.18000031,87.18000031,311.3599854,0,Shipping on time,20
21,21,21,21,21,327.75,18.03000069,1,309.7200012,154.8600006,154.8600006,309.7200012,0,Shipping on time,21
22,22,22,22,22,327.75,22.94000053,1,304.8099976,82.30000305,82.30000305,304.8099976,1,Late delivery,22
23,23,23,23,23,327.75,29.5,1,298.25,22.37000084,22.37000084,298.25,1,Late delivery,23
24,24,24,24,24,327.75,32.77999878,1,294.980011,17.70000076,17.70000076,294.980011,0,Shipping canceled,24
25,25,25,25,25,327.75,39.33000183,1,288.4200134,90.27999878,90.27999878,288.4200134,0,Shipping canceled,25
26,26,26,26,26,327.75,42.61000061,1,285.1400146,131.1699982,131.1699982,285.1400146,1,Late delivery,26
27,27,27,27,27,327.75,49.15999985,1,278.5899963,90.54000092,90.54000092,278.5899963,1,Late delivery,27
28,28,28,28,28,327.75,52.43999863,1,275.3099976,82.58999634,82.58999634,275.3099976,0,Shipping on time,28
29,29,29,29,29,327.75,55.72000122,1,272.0299988,-17.13999939,-17.13999939,272.0299988,0,Advance shipping,29
30,30,30,30,30,327.75,59.0,1,268.7600098,23.64999962,23.64999962,268.7600098,0,Advance shipping,30
31,31,31,31,31,327.75,65.55000305,1,262.2000122,73.41999817,73.41999817,262.2000122,1,Late delivery,31
32,32,32,32,32,327.75,81.94000244,1,245.8099976,113.0699997,113.0699997,245.8099976,1,Late delivery,32
33,33,33,33,33,327.75,0.0,1,327.75,24.57999992,24.57999992,327.75,0,Shipping on time,33
34,34,34,34,34,327.75,3.279999971,1,324.4700012,-97.33999634,-97.33999634,324.4700012,1,Late delivery,34
35,35,35,35,35,327.75,6.559999943,1,321.2000122,-425.5799866,-425.5799866,321.2000122,1,Late delivery,35
36,36,36,36,36,327.75,9.829999924,1,317.9200134,152.6000061,152.6000061,317.9200134,1,Late delivery,36
37,37,37,37,37,327.75,13.10999966,1,314.6400146,151.0299988,151.0299988,314.6400146,1,Late delivery,37
38,38,38,38,38,327.75,16.38999939,1,311.3599854,62.27000046,62.27000046,311.3599854,1,Late delivery,38
39,39,39,39,39,327.75,18.03000069,1,309.7200012,35.0,35.0,309.7200012,1,Late delivery,39
40,40,40,40,40,327.75,22.94000053,1,304.8099976,57.29999924,57.29999924,304.8099976,0,Shipping canceled,40
41,41,41,41,41,327.75,29.5,1,298.25,143.1600037,143.1600037,298.25,1,Late delivery,41
42,42,42,42,42,327.75,32.77999878,1,294.980011,135.6900024,135.6900024,294.980011,1,Late delivery,42
43,43,43,43,43,327.75,39.33000183,1,288.4200134,132.6699982,132.6699982,288.4200134,0,Shipping on time,43
44,44,44,44,44,327.75,42.61000061,1,285.1400146,119.7600021,119.7600021,285.1400146,0,Advance shipping,44
45,45,45,45,45,327.75,49.15999985,1,278.5899963,31.47999954,31.47999954,278.5899963,0,Advance shipping,45
46,46,46,46,46,327.75,52.43999863,1,275.3099976,86.16999817,86.16999817,275.3099976,1,Late delivery,46
47,47,47,47,47,327.75,55.72000122,1,272.0299988,130.5800018,130.5800018,272.0299988,1,Late delivery,47
48,48,48,48,48,327.75,59.0,1,268.7600098,0.0,0.0,268.7600098,0,Shipping on time,48
49,49,49,49,49,119.9800034,4.800000191,2,115.1800003,-30.75,-30.75,115.1800003,1,Late delivery,49
50,50,50,50,50,79.98000336,0.800000012,2,79.18000031,-122.7300034,-122.7300034,79.18000031,0,Shipping on time,50
