Order Id,order date (DateOrders),Order Status,Order City,Order Country,Order Region,Order Zipcode,Market,Transaction Type
1,1/31/2018 22:56,COMPLETE,Bekasi,Indonesia,Southeast Asia,,Pacific Asia,DEBIT
2,1/13/2018 12:27,PENDING,Bikaner,India,South Asia,,Pacific Asia,TRANSFER
3,1/13/2018 12:06,CLOSED,Bikaner,India,South Asia,,Pacific Asia,CASH
4,1/13/2018 11:45,COMPLETE,Townsville,Australia,Oceania,,Pacific Asia,DEBIT
5,1/13/2018 11:24,PENDING_PAYMENT,Townsville,Australia,Oceania,,Pacific Asia,PAYMENT
6,1/13/2018 11:03,CANCELED,Toowoomba,Australia,Oceania,,Pacific Asia,TRANSFER
7,1/13/2018 10:42,COMPLETE,Guangzhou,China,Eastern Asia,,Pacific Asia,DEBIT
8,1/13/2018 10:21,PROCESSING,Guangzhou,China,Eastern Asia,,Pacific Asia,TRANSFER
9,1/13/2018 10:00,CLOSED,Guangzhou,China,Eastern Asia,,Pacific Asia,CASH
10,1/13/2018 9:39,CLOSED,Guangzhou,China,Eastern Asia,,Pacific Asia,CASH
11,1/13/2018 9:18,SUSPECTED_FRAUD,Tokio,Japn,Eastern Asia,,Pacific Asia,TRANSFER
12,1/13/2018 8:57,PENDING,Manado,Indonesia,Southeast Asia,,Pacific Asia,TRANSFER
13,1/13/2018 8:36,PENDING,Manado,Indonesia,Southeast Asia,,Pacific Asia,TRANSFER
14,1/13/2018 8:15,COMPLETE,Sangli,India,South Asia,,Pacific Asia,DEBIT
15,1/13/2018 7:54,PROCESSING,Sangli,India,South Asia,,Pacific Asia,TRANSFER
16,1/13/2018 7:33,COMPLETE,Sangli,India,South Asia,,Pacific Asia,DEBIT
17,1/13/2018 7:12,PENDING_PAYMENT,Sel,Corea del Sur,Eastern Asia,,Pacific Asia,PAYMENT
18,1/13/2018 6:51,CLOSED,Jabalpur,India,South Asia,,Pacific Asia,CASH
19,1/13/2018 6:30,COMPLETE,Jabalpur,India,South Asia,,Pacific Asia,DEBIT
20,1/13/2018 6:09,PENDING_PAYMENT,Jabalpur,India,South Asia,,Pacific Asia,PAYMENT
21,1/13/2018 5:48,PROCESSING,Jabalpur,India,South Asia,,Pacific Asia,TRANSFER
22,1/13/2018 5:27,PENDING,Jabalpur,India,South Asia,,Pacific Asia,TRANSFER
23,1/13/2018 5:06,PENDING,Geelong,Australia,Oceania,,Pacific Asia,TRANSFER
24,1/13/2018 4:45,CANCELED,Geelong,Australia,Oceania,,Pacific Asia,TRANSFER
25,1/13/2018 4:24,SUSPECTED_FRAUD,Brisbane,Australia,Oceania,,Pacific Asia,TRANSFER
26,1/13/2018 4:03,COMPLETE,Mandurah,Australia,Oceania,,Pacific Asia,DEBIT
27,1/13/2018 3:42,PENDING,Mandurah,Australia,Oceania,,Pacific Asia,TRANSFER
28,1/13/2018 3:21,PENDING_PAYMENT,Guilin,China,Eastern Asia,,Pacific Asia,PAYMENT
29,1/13/2018 3:00,COMPLETE,Guilin,China,Eastern Asia,,Pacific Asia,DEBIT
30,1/13/2018 2:39,PROCESSING,Guilin,China,Eastern Asia,,Pacific Asia,TRANSFER
31,1/13/2018 2:18,ON_HOLD,Guilin,China,Eastern Asia,,Pacific Asia,DEBIT
32,1/13/2018 1:57,COMPLETE,Delhi,India,South Asia,,Pacific Asia,DEBIT
33,1/13/2018 1:36,PENDING_PAYMENT,Delhi,India,South Asia,,Pacific Asia,PAYMENT
34,1/13/2018 1:15,COMPLETE,Suzhou,China,Eastern Asia,,Pacific Asia,DEBIT
35,1/13/2018 0:54,PENDING_PAYMENT,Suzhou,China,Eastern Asia,,Pacific Asia,PAYMENT
36,1/13/2018 0:33,PENDING_PAYMENT,Singapur,Singapur,Southeast Asia,,Pacific Asia,PAYMENT
37,1/13/2018 0:12,CLOSED,Hubli,India,South Asia,,Pacific Asia,CASH
38,01-12-2018 23:51,COMPLETE,Wollongong,Australia,Oceania,,Pacific Asia,DEBIT
39,01-12-2018 23:30,COMPLETE,Wollongong,Australia,Oceania,,Pacific Asia,DEBIT
40,01-12-2018 23:09,CANCELED,Wollongong,Australia,Oceania,,Pacific Asia,TRANSFER
41,01-12-2018 22:48,PENDING_PAYMENT,Singapur,Singapur,Southeast Asia,,Pacific Asia,PAYMENT
42,01-12-2018 22:27,COMPLETE,Singapur,Singapur,Southeast Asia,,Pacific Asia,DEBIT
43,01-12-2018 22:05,CLOSED,Medan,Indonesia,Southeast Asia,,Pacific Asia,CASH
44,01-12-2018 21:44,PENDING_PAYMENT,Medan,Indonesia,Southeast Asia,,Pacific Asia,PAYMENT
45,01-12-2018 21:23,COMPLETE,Canberra,Australia,Oceania,,Pacific Asia,DEBIT
46,01-12-2018 21:02,PENDING,Bangalore,India,South Asia,,Pacific Asia,TRANSFER
47,01-12-2018 20:41,PENDING,Bangalore,India,South Asia,,Pacific Asia,TRANSFER
48,01-12-2018 20:20,PROCESSING,Yiwu,China,Eastern Asia,,Pacific Asia,TRANSFER
49,2/24/2016 13:57,PENDING_PAYMENT,Mirzapur,India,South Asia,,Pacific Asia,PAYMENT
50,10/25/2016 14:39,PENDING_PAYMENT,Bursa,Turqua,West Asia,,Pacific Asia,PAYMENT
51,3/30/2016 4:37,PENDING_PAYMENT,Murray Bridge,Australia,Oceania,,Pacific Asia,PAYMENT
52,10/30/2016 1:31,PENDING_PAYMENT,Kartal,Turqua,West Asia,,Pacific Asia,PAYMENT
53,11/28/2016 1:18,PENDING_PAYMENT,Ulan Bator,Mongolia,Eastern Asia,,Pacific Asia,PAYMENT
54,12/31/2016 15:47,PENDING_PAYMENT,Estambul,Turqua,West Asia,,Pacific Asia,PAYMENT
55,10/25/2015 6:24,PENDING_PAYMENT,Raipur,India,South Asia,,Pacific Asia,PAYMENT
56,06-11-2016 15:12,PENDING_PAYMENT,Pasco,Estados Unidos,West of USA ,99301.0,USCA,PAYMENT
57,8/24/2016 21:45,PENDING_PAYMENT,Los Angeles,Estados Unidos,West of USA ,90049.0,USCA,PAYMENT
58,4/13/2016 10:12,PENDING_PAYMENT,San Francisco,Estados Unidos,West of USA ,94110.0,USCA,PAYMENT
59,5/22/2016 14:10,PENDING_PAYMENT,Overland Park,Estados Unidos,US Center ,66212.0,USCA,PAYMENT
60,10-04-2016 22:55,PENDING_PAYMENT,Ugep,Nigeria,West Africa,,Africa,PAYMENT
61,11-08-2016 12:32,PENDING_PAYMENT,Kinshasa,Repblica Democrtica del Congo,Central Africa,,Africa,PAYMENT
62,11-11-2016 05:21,PENDING_PAYMENT,Dakar,Senegal,West Africa,,Africa,PAYMENT
63,12-08-2016 00:14,PENDING_PAYMENT,Casablanca,Marruecos,North Africa,,Africa,PAYMENT
64,07-07-2015 05:31,PENDING_PAYMENT,Dortmund,Alemania,Western Europe,,Europe,PAYMENT
65,7/22/2017 7:16,PENDING_PAYMENT,Drancy,Francia,Western Europe,,Europe,PAYMENT
66,08-07-2017 06:33,PENDING_PAYMENT,Nantes,Francia,Western Europe,,Europe,PAYMENT
67,9/22/2015 7:41,PENDING_PAYMENT,Groningen,Pases Bajos,Western Europe,,Europe,PAYMENT
68,07-02-2017 09:03,PENDING_PAYMENT,Gateshead,Reino Unido,Northern Europe,,Europe,PAYMENT
69,09-08-2015 12:15,PENDING_PAYMENT,Eastbourne,Reino Unido,Northern Europe,,Europe,PAYMENT
70,8/20/2017 7:03,PENDING_PAYMENT,Hayange,Francia,Western Europe,,Europe,PAYMENT
71,7/22/2017 7:16,PENDING_PAYMENT,Drancy,Francia,Western Europe,,Europe,PAYMENT
72,08-04-2017 02:31,PENDING_PAYMENT,Portsmouth,Reino Unido,Northern Europe,,Europe,PAYMENT
73,9/18/2017 1:14,PENDING_PAYMENT,Gelsenkirchen,Alemania,Western Europe,,Europe,PAYMENT
74,07-02-2015 19:42,PENDING_PAYMENT,Nice,Francia,Western Europe,,Europe,PAYMENT
75,3/28/2015 0:55,PENDING_PAYMENT,Petapa,Guatemala,Central America,,LATAM,PAYMENT
76,04-02-2017 16:43,PENDING_PAYMENT,Mejicanos,El Salvador,Central America,,LATAM,PAYMENT
77,05-05-2017 14:23,PENDING_PAYMENT,David,Panam,Central America,,LATAM,PAYMENT
78,4/25/2015 4:44,PENDING_PAYMENT,Santo Domingo,Repblica Dominicana,Caribbean,,LATAM,PAYMENT
79,4/25/2015 1:14,PENDING_PAYMENT,Cabimas,Venezuela,South America,,LATAM,PAYMENT
80,4/25/2015 1:14,PENDING_PAYMENT,Cabimas,Venezuela,South America,,LATAM,PAYMENT
81,06-06-2017 15:03,PENDING_PAYMENT,Santo Domingo,Repblica Dominicana,Caribbean,,LATAM,PAYMENT
82,2/18/2017 16:36,PENDING_PAYMENT,Dos Quebradas,Colombia,South America,,LATAM,PAYMENT
83,4/26/2015 3:10,PENDING_PAYMENT,Ilopango,El Salvador,Central America,,LATAM,PAYMENT
